Rk,player,win_pct,ts_pct,ws,mp_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,pts_per_g
1,Steven Adams\adamsst01,0.6,0.597,5,27,9.3,2.6,0.7,1.1,10.7
2,Bam Adebayo\adebaba01,0.648,0.613,7.1,34.5,10.4,4.9,1.2,1.2,15.8
3,LaMarcus Aldridge\aldrila01,0.426,0.58,4.6,33.2,7.6,2.4,0.6,1.6,19.1
4,Nickeil Alexander-Walker\alexani01,0.418,0.441,-0.4,12.2,2,1.8,0.3,0.2,5.1
5,Grayson Allen\allengr01,0.518,0.577,0.7,16.6,2.2,1.4,0.2,0,7.4
6,Jarrett Allen\allenja01,0.472,0.656,6.3,26.6,9.7,1.4,0.6,1.5,11.1
7,Kadeem Allen\allenka01,0.309,0.512,0.1,11.7,0.9,2.1,0.5,0.2,5
8,Al-Farouq Aminu\aminual01,0.436,0.395,0.2,21.1,4.8,1.2,1,0.4,4.3
9,Justin Anderson\anderju01,0.472,0.218,-0.1,5.7,0.7,0,0,0.3,1
10,Kyle Anderson\anderky01,0.518,0.539,1.7,18.1,4.1,2.1,0.8,0.5,5.3
11,Ryan Anderson\anderry01,0.63,0.357,0,7,3.5,1,0.5,0,2.5
12,Giannis Antetokounmpo\antetgi01,0.852,0.608,8.9,30.9,13.5,5.8,1.1,1.1,30
13,Kostas Antetokounmpo\antetko01,0.774,0,0,1.7,0.3,0.3,0,0,0
14,Thanasis Antetokounmpo\antetth01,0.852,0.556,0.1,4.1,0.5,0.4,0.1,0.1,2
15,Carmelo Anthony\anthoca01,0.446,0.5,0.5,32.5,6.6,1.5,0.8,0.5,15.1
16,OG Anunoby\anunoog01,0.727,0.586,3.8,29.1,5.4,1.5,1.2,0.6,10.2
17,Ryan Arcidiacono\arcidry01,0.345,0.556,1.2,15,1.7,1.5,0.4,0.1,4.2
18,Trevor Ariza\arizatr01,0.727,0.573,2,26.5,4.6,1.6,1.3,0.3,7
19,D.J. Augustin\augusdj01,0.436,0.544,2.3,26,2.4,4.7,0.7,0,10.7
20,Deandre Ayton\aytonde01,0.4,0.563,2.1,33,12,2.2,0.7,1.6,18.7
21,Dwayne Bacon\bacondw01,0.333,0.419,-0.8,17.6,2.6,1.3,0.6,0.1,5.7
22,Marvin Bagley\baglema01,0.389,0.512,0.4,25.7,7.5,0.8,0.5,0.9,14.2
23,Lonzo Ball\balllo01,0.418,0.512,1.6,32,6.1,6.7,1.3,0.5,11.9
24,Mo Bamba\bambamo01,0.436,0.544,2,14.9,5,0.7,0.4,1.4,5.5
25,J.J. Barea\bareajo01,0.6,0.57,0.8,15.5,2,3.7,0.2,0.1,9
26,Harrison Barnes\barneha02,0.389,0.565,3.3,34.6,4.9,2.2,0.6,0.1,14.5
27,RJ Barrett\barrerj01,0.309,0.466,-0.5,30.5,5.1,2.4,1,0.4,13.6
28,Will Barton\bartowi01,0.691,0.543,4.1,33.3,6.5,3.7,1.1,0.5,15.1
29,Keita Bates-Diop\bateske01,0.727,0.541,1.2,17.1,2.9,0.8,0.4,0.5,6.6
32,Kent Bazemore\bazemke01,0.727,0.479,0.1,24.7,4,1.3,1,0.6,8
33,Darius Bazley\bazleda01,0.6,0.475,0.4,17.2,3.7,0.5,0.4,0.7,4.5
34,Bradley Beal\bealbr01,0.377,0.573,3.9,35.5,4.4,6.2,1,0.4,29.1
35,Malik Beasley\beaslma01,0.727,0.52,0.8,19.2,2.2,1.3,0.8,0.1,8.9
36,Marco Belinelli\belinma01,0.426,0.496,0.3,15.1,1.6,1.3,0.2,0,5.4
37,Jordan Bell\belljo01,0.302,0.57,0.4,8.7,2.9,0.5,0.1,0.4,3.1
38,DeAndre' Bembry\bembrde01,0.268,0.5,0.2,21.3,3.5,1.9,1.3,0.4,5.8
39,Dragan Bender\bendedr01,0.852,0.582,0.2,13,2.9,1.3,0,0.7,3.7
40,Dāvis Bertāns\bertada01,0.377,0.625,3,29.3,4.6,1.8,0.7,0.7,15
41,Patrick Beverley\beverpa01,0.673,0.549,3.1,28,5.8,4,1.2,0.6,8.5
42,Khem Birch\birchkh01,0.436,0.537,1.6,20.3,4.7,0.9,0.4,0.6,4
43,Goga Bitadze\bitadgo01,0.582,0.53,0.5,8.6,2.1,0.5,0.1,0.6,3
44,Bismack Biyombo\biyombi01,0.333,0.571,2,19.2,5.8,0.9,0.2,0.8,7.5
45,Nemanja Bjelica\bjeline01,0.389,0.61,4.3,28.4,6.4,2.8,0.9,0.6,12.3
46,Eric Bledsoe\bledser01,0.852,0.578,4.6,27.1,4.8,5.3,0.9,0.5,15.7
47,Bogdan Bogdanović\bogdabo01,0.389,0.553,1.6,28.2,3.2,3.1,0.9,0.3,14.4
48,Bojan Bogdanović\bogdabo02,0.667,0.611,4.2,33.3,4.1,2.1,0.6,0.1,21
49,Jonah Bolden\boldejo01,0.727,0.465,0,8,1.6,0,0.4,0.4,2
50,Marques Bolden\boldema01,0.259,0,0,3,2,0,1,0,0
51,Jordan Bone\bonejo01,0.333,0.176,-0.2,5.3,0.1,0.9,0.1,0,0.7
52,Isaac Bonga\bongais01,0.377,0.634,1.6,17.7,3.3,1.1,0.7,0.4,4.8
53,Devin Booker\bookede01,0.4,0.625,5.5,35.9,4.2,6.3,0.8,0.3,26.4
54,Chris Boucher\bouchch01,0.727,0.566,2.7,12.9,4.3,0.4,0.4,0.9,6.3
55,Brian Bowen\bowenbr02,0.582,0.25,0,3.3,0.3,0,0,0.3,0.7
56,Ky Bowman\bowmaky01,0.218,0.482,0,21.9,2.5,3,0.9,0.2,7
57,Avery Bradley\bradlav01,0.774,0.545,1.2,23.4,2.2,1.2,0.8,0.1,8.5
58,Tony Bradley\bradlto01,0.667,0.656,2,10.2,4.3,0.3,0.2,0.4,4.4
59,Jarrell Brantley\brantja01,0.667,0,0,3.7,1.7,0.3,0,0.7,0
60,Ignas Brazdeikis\brazdig01,0.309,0.351,-0.1,5.9,0.6,0.4,0,0.1,1.9
61,Mikal Bridges\bridgmi01,0.4,0.608,3.2,25.7,3.9,1.6,1.5,0.6,8.1
62,Miles Bridges\bridgmi02,0.333,0.537,1.5,30.7,5.5,1.7,0.6,0.7,13
63,Oshae Brissett\brissos01,0.727,0.44,0.1,7.5,1.4,0.3,0.2,0.1,1.9
64,Ryan Broekhoff\broekry01,0.6,0.568,0.4,10.6,2.5,0.6,0.3,0.2,4.2
65,Malcolm Brogdon\brogdma01,0.582,0.54,3,30.8,4.7,7.3,0.7,0.2,16.6
66,Dillon Brooks\brookdi01,0.518,0.524,1.3,28.3,3.4,2,0.9,0.4,15.7
67,Bruce Brown\brownbr01,0.333,0.516,2,27.9,4.5,3.9,1.1,0.5,8.7
68,Charlie Brown\brownch02,0.268,0.472,0,4,0.4,0.2,0.2,0.2,2
69,Jaylen Brown\brownja02,0.704,0.596,4,33.6,6.4,2.2,1.1,0.3,20.2
70,Moses Brown\brownmo01,0.446,0.407,0,3.7,1.6,0.1,0.1,0.1,1.2
71,Sterling Brown\brownst02,0.852,0.504,1.1,15,4,1,0.6,0.1,5.3
72,Troy Brown\browntr01,0.377,0.537,2,25.8,5.6,2.3,1.3,0.1,10.2
73,Jalen Brunson\brunsja01,0.6,0.555,2.2,18.2,2.4,3.3,0.4,0.1,8.4
74,Thomas Bryant\bryanth01,0.377,0.643,2.2,25.4,7.4,2.2,0.3,0.9,12.9
75,Reggie Bullock\bullore01,0.309,0.499,0.5,26,2.5,1.5,1.1,0,9.8
76,Trey Burke\burketr01,0.618,0.545,0.9,13.2,1.4,2.1,0.3,0,5.9
77,Alec Burks\burksal01,0.727,0.551,2.5,28.7,4.6,3.1,1,0.3,15.8
78,Deonte Burton\burtode02,0.6,0.412,-0.2,8.5,1.3,0.3,0.1,0.3,2.7
79,Jimmy Butler\butleji01,0.648,0.587,7.5,34.4,6.8,6.1,1.8,0.5,20.6
80,Bruno Caboclo\cabocbr01,0.518,0.441,0.2,8.7,2,0.5,0.5,0.5,2.8
81,Kentavious Caldwell-Pope\caldwke01,0.774,0.601,3.3,25.3,2.1,1.7,0.8,0.2,9.5
82,Vlatko Čančar\cancavl01,0.691,0.588,0.1,3.5,0.7,0.3,0.1,0.1,1.4
83,Clint Capela\capelca01,0.63,0.626,5,32.8,13.8,1.2,0.8,1.8,13.9
84,DeMarre Carroll\carrode01,0.426,0.437,-0.1,9,2.1,0.7,0.1,0.1,2.2
85,Jevon Carter\carteje01,0.4,0.541,0.8,14.5,1.9,1.4,0.8,0.3,4.3
86,Vince Carter\cartevi01,0.268,0.473,-0.1,15.3,2.2,0.9,0.4,0.5,5.3
87,Wendell Carter\cartewe01,0.345,0.592,3.1,30,9.9,1.2,0.8,0.9,11.7
88,Michael Carter-Williams\cartemi01,0.436,0.504,1.3,17.7,3.2,2.7,1.1,0.5,6.4
89,Alex Caruso\carusal01,0.774,0.54,1.8,18.2,1.9,1.7,1,0.3,5.5
90,Willie Cauley-Stein\caulewi01,0.727,0.585,2.8,21,5.9,1.3,1,1.2,7.5
91,Tyson Chandler\chandty01,0.63,0.717,0.6,8.4,2.5,0.2,0.2,0.3,1.3
92,Wilson Chandler\chandwi01,0.472,0.552,0.7,20.7,4.4,1.2,0.6,0.3,6.2
93,Zylan Cheatham\cheatzy01,0.418,0.4,-0.1,10.3,2,0.7,0,0.3,1.3
94,Chris Chiozza\chiozch01,0.727,0.395,0,10.4,1.3,2.4,0.9,0.1,2.4
95,Marquese Chriss\chrisma01,0.218,0.596,2.6,19.2,5.7,1.7,0.6,1.1,8.7
96,Gary Clark\clarkga01,0.727,0.552,0.9,12.3,2.5,0.4,0.1,0.4,3.6
97,Brandon Clarke\clarkbr01,0.518,0.674,4.1,21.8,5.7,1.4,0.5,0.8,12.3
98,Jordan Clarkson\clarkjo01,0.727,0.587,3.3,24.1,2.5,2.1,0.6,0.3,15.3
99,Nicolas Claxton\claxtni01,0.472,0.57,0.5,13.1,3.1,1.1,0.1,0.6,4.4
100,Chris Clemons\clemoch01,0.63,0.547,0.2,8.8,0.8,0.8,0.2,0.2,5
101,Antonius Cleveland\clevean01,0.6,0.363,0,3.7,0.5,0,0.2,0.2,0.8
102,Amir Coffey\coffeam01,0.673,0.515,0.1,9,1.2,0.5,0.2,0.2,3.2
103,John Collins\collijo01,0.268,0.643,3.2,32.2,10.2,1.4,0.6,1.6,20.6
104,Zach Collins\colliza01,0.446,0.624,0.1,28.7,4,2,0,0.7,9
105,Mike Conley\conlemi01,0.667,0.511,1.4,27.9,3.2,4.2,0.7,0.1,13.5
106,Pat Connaughton\connapa01,0.852,0.549,2.3,18.3,4.4,1.6,0.3,0.5,4.9
107,Quinn Cook\cookqu01,0.774,0.521,0.4,11.4,1.1,1.1,0.3,0,5
108,Tyler Cook\cookty01,0.259,0.752,0.2,3.2,0.9,0.1,0.1,0,1.7
109,Robert Covington\covinro01,0.727,0.571,2.8,29.6,6,1.2,1.7,1,12.8
110,Allen Crabbe\crabbal01,0.727,0.475,0,17.8,2.1,0.9,0.4,0.1,4.8
111,0.727rey Craig\craigto01,0.691,0.549,1.5,18.1,3.4,0.7,0.4,0.7,4.9
112,Jae Crowder\crowdja01,0.727,0.529,2.3,29.4,6.2,2.7,1.1,0.3,10.4
113,Jarrett Culver\culveja01,0.302,0.449,-0.3,24.4,3.4,1.8,1,0.7,9.1
114,Seth Curry\curryse01,0.6,0.631,3.4,23.6,2.3,1.9,0.6,0.2,11.5
115,Stephen Curry\curryst01,0.218,0.548,0.2,28,5,6.5,1.3,0.5,20.3
116,Troy Daniels\danietr01,0.774,0.529,0.7,11.4,1.1,0.4,0.2,0.1,4.3
117,Anthony Davis\davisan02,0.774,0.619,8.8,34.7,9.2,3.3,1.6,2.4,26.6
118,Ed Davis\davised01,0.667,0.425,0.4,10.7,3.8,0.3,0.4,0.4,1.3
119,Terence Davis\daviste02,0.727,0.615,3,17.3,3.5,1.7,0.5,0.2,7.9
120,Dewayne Dedmon\dedmode01,0.727,0.489,0,16.7,5.1,0.5,0.5,1,5.6
121,Matthew Dellavedova\dellama01,0.259,0.428,-0.2,12.3,1.1,2.6,0.3,0,2.6
122,DeMar DeRozan\derozde01,0.426,0.604,5.6,34.3,5.7,5.2,1.1,0.2,23
123,Cheick Diallo\diallch01,0.4,0.707,1.3,11.1,3,0.5,0.3,0.3,5.1
124,Hamidou Diallo\diallha01,0.6,0.488,0.2,18.9,3.4,0.6,0.8,0.2,6.4
125,Gorgui Dieng\dienggo01,0.727,0.563,2.2,16.8,5.5,1.3,0.8,0.9,7.4
126,Spencer Dinwiddie\dinwisp01,0.472,0.538,4.2,31.2,3.5,6.6,0.7,0.3,21
127,Donte DiVincenzo\divindo01,0.852,0.56,3.5,22.9,4.7,2.2,1.5,0.3,9.2
128,Luka Dončić\doncilu01,0.6,0.592,7.1,32.8,9.5,8.7,1,0.2,28.9
129,Luguentz Dort\dortlu01,0.6,0.511,0.3,20.8,1.5,0.6,0.8,0.1,5.8
130,Damyean Dotson\dotsoda01,0.309,0.537,1,17.4,1.8,1.2,0.5,0.1,6.7
131,Sekou Doumbouya\doumbse01,0.333,0.486,-0.2,19.7,3.3,0.4,0.6,0.2,6.8
132,PJ Dozier\doziepj01,0.691,0.467,0.2,14.7,2,1.7,0.5,0.3,5.5
133,Goran Dragić\dragigo01,0.648,0.576,2.5,28.3,3,5,0.6,0.2,16.1
134,Andre Drummond\drumman01,0.727,0.549,4.3,33.4,15.8,2.8,1.9,1.7,17.7
135,Jared Dudley\dudleja01,0.774,0.593,0.6,8.3,1.1,0.5,0.3,0.1,1.6
136,Kris Dunn\dunnkr01,0.345,0.51,2.3,24.9,3.6,3.4,2,0.3,7.3
137,Carsen Edwards\edwarca01,0.704,0.442,0.1,9,1.2,0.7,0.3,0.1,2.9
138,Henry Ellenson\ellenhe01,0.472,0.143,-0.1,3,1.2,0.2,0,0,0.4
139,Wayne Ellington\ellinwa01,0.309,0.515,0.3,15.3,1.6,1,0.4,0.1,5.1
140,Joel Embiid\embiijo01,0.618,0.584,4.9,30.5,11.9,3.2,0.8,1.4,22.9
141,James Ennis\ennisja01,0.727,0.563,1.9,15.8,3.1,0.8,0.5,0.3,5.8
142,Drew Eubanks\eubandr01,0.426,0.705,0.1,5.3,2.1,0.3,0,0.1,2.9
143,Jacob Evans\evansja02,0.727,0.439,-0.4,14.8,1.5,1.1,0.4,0.4,4.6
144,Dante Exum\exumda01,0.727,0.545,0.2,13.4,1.8,1.2,0.4,0.2,4.2
145,Tacko Fall\fallta01,0.704,0.713,0.1,4,1.8,0,0,0.3,3.2
146,Derrick Favors\favorde01,0.418,0.631,3,23.9,9.9,1.8,0.6,1,9.5
147,Cristiano Felício\feliccr01,0.345,0.661,0.7,17.8,4.7,0.7,0.4,0.1,4.1
148,Terrance Ferguson\fergute01,0.6,0.52,0.7,25,1.6,1,0.6,0.3,4.5
149,Bruno Fernando\fernabr01,0.268,0.538,0.5,12.2,3.4,0.8,0.3,0.4,4
150,Yogi Ferrell\ferreyo01,0.389,0.51,0.5,11.1,1.1,1.4,0.3,0.1,4.4
151,Dorian Finney-Smith\finnedo01,0.6,0.594,3.7,29.7,5.6,1.5,0.7,0.5,9.4
152,Bryn Forbes\forbebr01,0.426,0.553,1.2,25.3,2.1,1.9,0.5,0,11.1
153,Evan Fournier\fournev01,0.436,0.592,3.8,31.7,2.7,3.2,1.1,0.2,18.7
154,De'Aaron Fox\foxde01,0.389,0.544,2.4,31.5,4.2,7,1.5,0.6,19.7
155,Melvin Frazier\frazime01,0.436,0.48,0,3.4,0.3,0.1,0.3,0.1,1.3
156,Michael Frazier\frazimi01,0.63,0.515,0,8.6,0.4,0.1,0.3,0,1.7
157,Tim Frazier\fraziti01,0.333,0.464,0.1,13.1,1.2,3.4,0.5,0.1,3.6
158,Markelle Fultz\fultzma01,0.436,0.52,2.3,28.2,3.5,5,1.3,0.2,11.9
159,Wenyen Gabriel\gabriwe01,0.727,0.455,0,6.6,1.1,0.2,0.3,0.2,1.8
160,Daniel Gafford\gaffoda01,0.345,0.66,1.3,12.7,2.4,0.4,0.3,1.3,4.7
161,Danilo Gallinari\gallida01,0.6,0.617,5.2,30.7,5.7,2.3,0.7,0.1,19.3
162,Langston Galloway\gallola01,0.333,0.583,2.8,26,2.2,1.6,0.7,0.2,10.1
163,Darius Garland\garlada01,0.259,0.494,-1.5,30.5,1.9,3.8,0.7,0,12.2
164,Marc Gasol\gasolma01,0.727,0.551,2.6,27.8,6.5,3.5,0.8,0.9,7.8
165,Rudy Gay\gayru01,0.426,0.545,1.2,21,5.3,1.7,0.4,0.5,9.5
166,Paul George\georgpa01,0.673,0.578,2.9,29.4,6.1,3.9,1.3,0.5,21.7
167,Taj Gibson\gibsota01,0.309,0.593,2,16.5,4.3,0.9,0.4,0.4,5.8
168,Harry Giles\gilesha01,0.389,0.572,0.8,12.5,3.5,1.2,0.5,0.3,5.6
169,Shai Gilgeous-Alexander\gilgesh01,0.6,0.56,4.7,35.5,6.1,3.2,1.2,0.7,19.5
170,Rudy Gobert\goberru01,0.667,0.691,8.8,34.6,14.6,1.5,0.7,1.9,15.6
171,Brandon Goodwin\goodwbr01,0.268,0.51,0.1,13.7,2.4,1.5,0.4,0.2,6.7
172,Aaron Gordon\gordoaa01,0.436,0.504,2.5,32.2,7.3,3.1,0.8,0.5,14.2
173,Eric Gordon\gordoer01,0.63,0.517,0.8,29.4,2,1.5,0.6,0.4,15.3
174,Devonte' Graham\grahade01,0.333,0.536,3,35.2,3.6,7.8,0.9,0.3,18.1
175,Treveon Graham\grahatr01,0.727,0.446,0.1,17.4,2.7,0.7,0.4,0.1,4.4
176,Jerami Grant\grantje01,0.691,0.58,3.4,26.4,3.7,1.1,0.6,0.9,11.3
177,Josh Gray\grayjo01,0.418,0.5,-0.1,11.5,1,1,0,0,1
178,Danny Green\greenda02,0.774,0.566,2.9,25,3.5,1.3,1.2,0.5,8.6
179,Draymond Green\greendr01,0.218,0.491,1.2,29.1,6.4,6.2,1.4,0.8,8.3
180,JaMychal Green\greenja01,0.673,0.537,2,20.7,6.4,0.7,0.5,0.4,6.4
181,Javonte Green\greenja02,0.704,0.569,1,9.1,1.7,0.5,0.5,0.1,3
182,Jeff Green\greenje02,0.667,0.523,0.6,18.4,2.7,0.7,0.4,0.3,7.8
183,Blake Griffin\griffbl01,0.333,0.476,-0.1,28.4,4.7,3.3,0.4,0.4,15.5
184,Marko Guduric\gudurma01,0.518,0.5,-0.1,13.2,1.9,1.2,0.3,0.2,4.5
185,Kyle Guy\guyky01,0.389,0.5,0,2,0,0,0,0,1
186,Rui Hachimura\hachiru01,0.377,0.54,1.1,28.8,6,1.5,0.7,0.2,13.9
187,Devon Hall\hallde01,0.6,0.37,0,4,0.2,0.6,0,0,1
188,Tim Hardaway\hardati02,0.6,0.576,3.2,27.4,3,2,0.6,0.1,14.8
189,James Harden\hardeja01,0.63,0.62,10.1,37.1,6.5,7.3,1.6,1,35.3
190,Maurice Harkless\harklma01,0.727,0.575,2.2,22.9,4,1,1,0.6,5.5
191,Jared Harper\harpeja01,0.4,0.25,0,2.7,0,0,0,0,0.7
192,Montrezl Harrell\harremo01,0.673,0.598,5.7,28.4,7.1,1.8,0.6,1.1,18.8
193,Gary Harris\harriga01,0.691,0.496,1.6,32.1,2.9,2.2,1.3,0.2,10.2
194,Joe Harris\harrijo01,0.472,0.59,3.3,31.4,4.3,2.1,0.7,0.3,13.8
195,Tobias Harris\harrito02,0.618,0.558,4.8,34.3,6.7,3,0.7,0.6,19
196,Shaquille Harrison\harrish01,0.345,0.525,0.6,7.7,1.4,0.9,0.5,0.2,3.4
197,Josh Hart\hartjo01,0.418,0.568,2.4,28.1,6.4,1.6,1.1,0.4,10.6
198,Isaiah Hartenstein\harteis01,0.63,0.674,1.1,11.6,3.9,0.8,0.4,0.5,4.7
199,Udonis Haslem\hasleud01,0.648,0.906,0.1,5.5,1.5,0,0,0,2.5
200,Jaxson Hayes\hayesja02,0.418,0.677,3.4,17.8,4.3,1,0.4,1,7.9
201,Gordon Hayward\haywago01,0.704,0.598,4.3,33.2,6.7,4.1,0.7,0.5,17.3
202,John Henson\hensojo01,0.727,0.566,1.1,14.2,4,1.4,0.5,1.1,5.1
203,Dewan Hernandez\hernade01,0.727,0.34,0,2.8,1.8,0,0.3,0,1
204,Juan Hernangómez\hernaju01,0.727,0.47,0.4,13.8,3.1,0.7,0.2,0.2,4.1
205,Willy Hernangómez\hernawi01,0.333,0.565,0.4,10.6,3.6,0.7,0.3,0.2,5.7
206,Tyler Herro\herroty01,0.648,0.535,1,27.7,4,2,0.6,0.2,13.1
207,Kevin Hervey\herveke01,0.6,0,-0.1,2.2,0.3,0.2,0,0,0
208,Mario Hezonja\hezonma01,0.446,0.493,0.4,16.2,3.6,0.8,0.6,0.2,4.5
209,Buddy Hield\hieldbu01,0.389,0.563,2.6,33.4,5,3.2,0.9,0.3,20.4
210,George Hill\hillge01,0.852,0.685,4.4,21.1,3,3,0.7,0.1,9.7
211,Solomon Hill\hillso01,0.518,0.549,1.2,18.8,3,2,0.6,0.1,5.7
212,Jaylen Hoard\hoardja01,0.446,0.504,0.2,7.9,2.5,0.3,0.4,0,2.9
213,Aaron Holiday\holidaa01,0.582,0.525,1.6,22.8,2.2,3.4,0.7,0.2,9.9
214,Jrue Holiday\holidjr01,0.418,0.521,2.6,34.7,4.7,6.5,1.7,0.9,19.3
215,Justin Holiday\holidju01,0.582,0.591,3.4,25.4,3.4,1.5,1,0.6,8.3
216,Rondae Hollis-Jefferson\holliro01,0.727,0.537,2.8,19.6,4.9,1.8,1,0.4,7.6
217,Richaun Holmes\holmeri01,0.389,0.692,4.6,29.4,8.5,1,1.1,1.4,13.1
218,Rodney Hood\hoodro01,0.446,0.625,1.1,29.5,3.4,1.5,0.8,0.2,11
219,Al Horford\horfoal01,0.618,0.519,4.1,30.9,6.7,3.9,0.9,0.9,12
220,Talen Horton-Tucker\hortota01,0.774,0,0,2.5,0,1,0.5,0,0
221,Danuel House\houseda01,0.63,0.57,3,31,4.5,1.3,1.1,0.6,10.6
222,Dwight Howard\howardw01,0.774,0.695,4.3,19.8,7.8,0.7,0.4,1.3,7.8
223,William Howard\howarwi01,0.63,0,-0.1,6.5,1,0.5,0,0,0
224,Kevin Huerter\huertke01,0.268,0.545,1.1,30.3,4.1,3.4,0.8,0.5,12.3
225,De'Andre Hunter\huntede01,0.268,0.516,-0.1,31.6,4,1.8,0.8,0.3,12.2
226,Chandler Hutchison\hutchch01,0.345,0.521,0.7,18.8,3.9,0.9,1,0.3,7.8
227,Serge Ibaka\ibakase01,0.727,0.597,3.5,27.2,8,1.4,0.5,0.8,16.1
228,Andre Iguodala\iguodan01,0.648,0.722,0.2,21,5.3,2.3,0.3,0.3,4.3
229,Ersan İlyasova\ilyaser01,0.852,0.591,3.2,16.2,5,0.9,0.4,0.3,7.4
230,Joe Ingles\inglejo01,0.667,0.58,3.9,30.1,4,5.2,0.9,0.1,10
231,Brandon Ingram\ingrabr01,0.418,0.6,4.6,34.1,6.4,4.2,1,0.7,24.9
232,Kyrie Irving\irvinky01,0.472,0.595,3,32.9,5.2,6.4,1.4,0.5,27.4
233,Jonathan Isaac\isaacjo01,0.436,0.542,2.4,29.7,6.9,1.4,1.6,2.4,12
234,Wesley Iwundu\iwundwe01,0.436,0.507,1.2,18.3,2.6,1.1,0.6,0.2,5.1
235,Frank Jackson\jacksfr01,0.418,0.52,0.1,13.2,1.3,0.8,0.3,0.1,5.9
236,Jaren Jackson\jacksja02,0.518,0.59,3,28.1,4.8,1.4,0.7,1.7,17.1
237,Josh Jackson\jacksjo02,0.518,0.449,-0.1,17.6,3.9,0.9,0.9,0.1,6
238,Justin Jackson\jacksju01,0.6,0.493,0.8,16.1,2.4,0.7,0.2,0.1,5.8
239,Reggie Jackson\jacksre01,0.333,0.492,0.4,27.2,2.9,5.1,0.6,0.1,14.9
240,Justin James\jamesju01,0.389,0.487,0.2,7,1,0.5,0.2,0.3,2.7
241,LeBron James\jamesle01,0.774,0.569,7.5,34.9,7.8,10.8,1.3,0.4,25
242,Amile Jefferson\jeffeam01,0.436,0.372,0,4.1,1.3,0.2,0.1,0.2,0.8
243,DaQuan Jeffries\jeffrda01,0.389,0.5,0,3.2,0.2,0.2,0.2,0,1.2
244,Ty Jerome\jeromty01,0.4,0.465,0.2,11.8,1.7,1.8,0.7,0.1,4
245,Alize Johnson\johnsal02,0.582,0.541,0.1,4.2,1.4,0.2,0,0,1.6
246,B.J. Johnson\johnsbj01,0.436,0.344,-0.1,5.8,0.8,0.3,0.3,0,1.6
247,Cameron Johnson\johnsca02,0.4,0.565,1.4,19.8,2.9,1.1,0.6,0.3,7.7
248,James Johnson\johnsja01,0.727,0.552,0.5,17.2,3.2,1.6,0.6,0.8,6.2
249,Keldon Johnson\johnske04,0.426,0.4,0,3,0.8,0,0,0,1
250,Stanley Johnson\johnsst04,0.727,0.353,-0.2,4.9,1.1,0.4,0.2,0.1,1.2
251,Tyler Johnson\johnsty01,0.4,0.481,0.1,16.6,1.7,1.6,0.4,0.3,5.7
252,Nikola Jokić\jokicni01,0.691,0.597,8,32.5,10.2,6.9,1.2,0.7,20.6
253,Damian Jones\jonesda03,0.268,0.718,2.7,16.7,3.8,0.6,0.5,0.7,5.9
